"","finalStackSizeAnte","lowestStackSizeAnte","finalStackSizePair","lowestStackSizePair","finalStackSizeSix","lowestStackSizeSix"
"1",12298,11768,6468,6057,9138,8992
"2",12753,12465,12908,12478,14458,12512
"3",11648,11207,7033,6866,12903,12880
"4",14523,13386,11418,10413,10498,9934
"5",11448,11331,12623,12118,14318,13443
"6",14183,13473,13978,12501,15878,13706
"7",13438,12871,11828,11318,12403,11781
"8",12583,12358,10218,10110,14798,12145
"9",12808,12424,11708,11391,13923,13553
"10",12298,12228,7013,5978,15483,14288
"11",13473,13006,14513,13901,13248,12183
"12",12558,12202,6543,6187,11688,11449
"13",13073,13011,11318,10647,13868,13395
"14",12658,12557,8823,8413,15498,14555
"15",12223,11948,10238,10038,12378,10899
"16",14053,13733,4618,4554,15408,10539
"17",13043,13019,8148,7576,14203,12695
"18",14803,14617,14493,13540,13508,12714
"19",12903,12839,8428,8228,9518,7801
"20",12223,12215,7858,7615,7373,7079
"21",12863,12800,10243,9392,10153,10081
"22",12558,12086,13183,12424,15793,13445
"23",13253,12752,7478,7352,11128,9248
"24",12908,12661,9428,9327,15008,12627
"25",13923,13895,9733,9393,9898,9898
"26",10763,10734,11223,11166,16938,13679
"27",13353,12499,12243,11872,8893,8382
"28",13563,13183,10413,10359,15073,13332
"29",13168,13113,9718,9504,12833,12305
"30",15043,14385,9053,8698,12723,12701
"31",12148,12140,12878,12411,14378,13598
"32",12488,11871,5438,5148,18848,14838
"33",12448,12113,13788,12894,9893,9616
"34",12908,12623,7593,7097,10398,9276
"35",11983,11792,12563,12482,15823,12455
"36",13938,12657,10363,10326,16258,14106
"37",10128,10043,13743,13357,17738,14752
"38",13903,13259,11643,11440,9463,9350
"39",10463,10243,9528,9353,12688,11469
"40",13283,12865,9618,8848,11308,10637
"41",14573,13837,12248,12199,11103,9847
"42",12508,12159,9663,9610,13468,12786
"43",10873,10669,10263,9787,16803,13821
"44",12533,12478,9973,9752,17473,14769
"45",10778,10677,7658,7422,10938,10745
"46",12338,12168,14213,13820,9788,8677
"47",12988,12284,9133,8795,11468,8235
"48",12398,12268,3698,3692,12868,12431
"49",12673,12398,6203,5959,6458,6297
"50",12238,12099,8853,8635,7468,7195
"51",11773,11643,11498,10878,9963,9791
"52",14118,13277,10518,10459,19803,14850
"53",12548,12143,10413,10008,10203,8972
"54",11658,11640,12273,12177,10923,10923
"55",13728,13531,9078,8740,10758,10319
"56",11378,11077,8953,8568,13663,11601
"57",13488,13356,11318,11023,15828,14124
"58",12028,11912,9828,9650,11453,10832
"59",13168,13009,9413,9073,10103,9368
"60",14713,14675,9573,9163,13508,12431
"61",9813,9788,7393,6690,13818,12918
"62",13218,12935,6423,6400,9153,8882
"63",12598,12432,10333,9745,12808,11604
"64",11203,10743,9858,9631,11233,10831
"65",12963,12703,8978,8755,17123,14146
"66",11713,11666,13153,12800,11433,10647
"67",11493,11314,6743,6448,4803,3632
"68",11213,11176,10193,10171,14008,12751
"69",11138,10880,11573,10895,18173,14296
"70",11668,11419,14798,14120,12938,12351
"71",11943,11921,10643,10630,17873,12406
"72",11558,11481,11103,10961,8818,8281
"73",13608,12331,11728,11612,12508,11616
"74",11703,11606,5428,5428,10663,10640
"75",12818,12418,11108,11086,9938,9619
"76",11588,10944,8178,8033,13518,10610
"77",11513,11245,6703,6595,12478,11368
"78",10338,10275,9853,9716,12218,11410
"79",11023,10959,9803,9725,16723,14938
"80",11908,11870,12338,12175,11168,10922
"81",10888,10888,9428,8900,17613,14724
"82",12273,12007,6353,6097,11513,11388
"83",13368,13175,9538,9247,10843,10820
"84",13088,13011,11623,11056,7628,7429
"85",12698,12348,5588,5566,12523,12286
"86",12013,11641,11813,10388,15213,14244
"87",11508,11386,8003,7473,10963,10835
"88",11248,11119,9953,9079,11913,10740
"89",13398,13082,8848,7942,14283,12823
"90",12698,12650,12643,12580,8183,7862
"91",13258,13127,11073,10410,15678,13654
"92",12528,12492,11663,11660,11258,9889
"93",11428,11292,13153,12377,14068,13718
"94",13223,12753,12058,11991,10003,9870
"95",9958,9875,9293,8982,13128,12059
"96",10653,10296,10928,10023,10883,10742
"97",13818,13462,9433,9375,11233,9980
"98",13633,13255,4453,3849,9508,8477
"99",13443,12991,8148,8084,11588,11423
"100",12823,12519,10643,10401,13318,13318
"101",12573,11464,7503,7067,7773,7615
"102",11748,11710,13603,13148,14678,12984
"103",13138,13096,11003,9813,13228,12916
"104",11958,11940,12908,12654,17608,14730
"105",10598,10560,9638,9574,14593,12385
"106",14503,14047,13498,12801,12963,11330
"107",10903,10604,12053,11775,13608,9330
"108",12878,12539,9363,9125,11488,10094
"109",11933,11573,7153,6839,11168,10404
"110",13468,12688,10953,10670,8628,8181
"111",12038,11869,9068,8891,11438,8440
"112",11488,11470,5603,5111,11698,10352
"113",12243,12147,8018,7808,8883,8418
"114",12673,12608,10128,9956,14458,14196
"115",12913,12554,10203,9431,6483,6455
"116",14363,13188,8598,8507,12703,11917
"117",12698,12490,11363,11013,11863,11801
"118",11628,11482,5583,5534,9968,8836
"119",11863,11271,8368,8151,14748,14748
"120",13968,13537,10913,10496,13038,12276
"121",14193,13376,8143,7833,6898,6551
"122",11128,10504,9133,8980,12678,12646
"123",13583,12983,7138,6985,9718,9718
"124",12873,12097,9498,9404,16043,14906
"125",10973,10956,4998,4954,13418,12085
"126",12228,11733,8553,8367,13068,11245
"127",13323,12982,7038,6943,17873,14498
"128",10418,10390,5418,5311,8878,8637
"129",12708,12361,9268,8460,11153,9804
"130",11403,11370,7193,7172,19983,14975
"131",10803,10785,11208,11182,11663,11102
"132",9283,9053,8568,8137,12698,12590
"133",14738,13930,7478,7325,7558,7135
"134",13323,12754,7298,7229,15753,14989
"135",15378,14671,11168,10929,13228,11840
"136",11968,11947,7858,7526,14608,14172
"137",11898,11309,9633,9601,14013,13991
"138",11548,11469,9758,9589,12388,12318
"139",10923,10803,14243,13663,19223,14797
"140",12823,12757,9618,9347,12863,11874
"141",11528,11463,11053,10826,13818,12552
"142",13183,13124,10793,10400,18238,14354
"143",15118,14517,7478,7461,11988,11948
"144",10653,10645,9053,8886,11983,9610
"145",12563,12377,8968,8843,14293,12932
"146",12288,11710,11158,11144,14763,11973
"147",11953,11953,11263,10806,12758,12464
"148",10673,10569,8668,8614,12503,10263
"149",11593,11236,11228,11189,13328,12608
"150",13148,12968,5753,5625,9188,8521
"151",15618,14709,11708,11297,7628,7490
"152",13128,12918,11743,11109,15223,13908
"153",14488,13492,15373,13669,10883,9283
"154",11878,11877,13983,12651,13478,11952
"155",11373,11336,9023,8962,16643,13768
"156",11353,11287,10108,10103,12868,11420
"157",13013,12995,5978,5978,15963,13361
"158",13303,13058,9908,9892,12898,12613
"159",10813,10737,9988,9645,12463,10559
"160",12618,12481,7408,7380,17133,13606
"161",12228,12090,10743,10587,10113,9594
"162",13368,13330,7218,7205,13703,13401
"163",12968,12650,11203,10260,9293,8646
"164",12653,12551,6128,6110,13903,12677
"165",13093,12545,5803,5765,13513,11970
"166",13398,12701,9408,8971,15633,11268
"167",11163,11163,6043,6019,14543,14543
"168",12788,12710,10598,9994,13798,13448
"169",14413,14121,12108,11645,15733,14482
"170",13608,12985,6858,6853,14573,13716
"171",11758,10763,8203,8114,14288,13974
"172",12998,12484,11238,10916,9458,8997
"173",14503,13261,7858,7733,4273,4045
"174",12088,11859,10503,10407,15288,13259
"175",11748,11503,8483,8323,14573,12399
"176",16143,14421,12113,10217,10118,9974
"177",11423,11191,8978,8586,16093,13003
"178",12778,12650,10043,9829,11373,11062
"179",12063,12040,6893,6747,8273,7996
"180",15218,14912,11118,10401,10668,8528
"181",12688,12479,10453,10132,11838,11214
"182",11138,10836,12243,11994,13943,13308
"183",13408,13289,12443,11928,11808,11229
"184",11783,11443,8238,7949,4978,4705
"185",10703,10080,8513,8194,15853,13662
"186",11238,11173,12803,12686,14668,13752
"187",11063,10915,13123,11663,8713,8226
"188",12443,12303,11843,11827,13073,9986
"189",12713,12670,9728,9532,11383,10332
"190",12613,12505,10318,10049,12418,12418
"191",13518,13411,12738,12681,5788,5482
"192",13943,13481,10283,10251,16523,14337
"193",12778,12310,8688,8663,14313,13131
"194",12988,12553,6278,6101,14973,13193
"195",12988,12901,10143,9614,10218,8252
