"","finalStackSize","lowestStackSize"
"1",53915,49708
"2",64500,49801
"3",67345,49988
"4",61750,49445
"5",59200,49907
"6",60010,49998
"7",62765,49887
"8",59830,49031
"9",57695,49543
"10",65385,49989
"11",58585,48558
"12",49080,45853
"13",57255,49523
"14",55810,49274
"15",53970,49983
"16",46250,41679
"17",52135,44704
"18",60155,50000
"19",61335,49433
"20",54450,48128
"21",51270,49218
"22",61800,49822
"23",60160,49024
"24",54855,47823
"25",59290,49511
"26",65195,49229
"27",68090,50000
"28",58585,49687
"29",66175,49587
"30",66200,49260
"31",67940,49993
"32",53540,48978
"33",59330,49419
"34",65740,48014
"35",66405,49909
"36",58110,48914
"37",60470,49177
"38",44810,44714
"39",67990,49977
"40",48480,41222
"41",59305,49157
"42",66845,49620
"43",58465,49983
"44",60640,50000
"45",54735,47397
"46",60750,49477
"47",53885,49510
"48",43700,43238
"49",51965,41543
"50",64080,48615
"51",49890,44679
"52",65975,49644
"53",60475,49983
"54",55640,46797
"55",63320,49492
"56",60820,48841
"57",68035,49989
"58",54905,45982
"59",60035,46351
"60",52760,48461
"61",56755,46993
"62",64990,47503
"63",50720,46508
"64",58785,49998
"65",55810,45098
"66",43490,39362
"67",62180,49935
"68",61440,47395
"69",53355,48043
"70",42505,37581
"71",57205,49044
"72",59060,49586
"73",62745,49935
"74",61885,49988
"75",58755,48686
"76",59350,48049
"77",52975,46652
"78",59315,49873
"79",70035,48397
"80",53845,47899
"81",56015,49696
"82",63080,48845
"83",61310,49225
"84",64795,49983
"85",56035,44275
"86",58235,49720
"87",51960,43484
"88",70410,49978
"89",56500,48230
"90",58150,49915
"91",59730,48705
"92",64315,49994
"93",63875,49153
"94",58990,49047
"95",60865,43257
"96",58695,49994
"97",69975,49989
"98",55385,47225
"99",52270,46113
"100",52655,49681
"101",46110,40955
"102",50030,48868
"103",61745,49911
"104",63985,48625
"105",56110,46180
"106",59455,49983
"107",49005,46878
"108",51790,48739
"109",58085,44132
"110",53765,39877
"111",65425,49965
"112",66765,49386
"113",51640,45567
"114",64345,49644
"115",68885,49561
"116",68210,48025
"117",62125,49994
"118",54860,49983
"119",59495,45924
"120",49600,44896
"121",60805,49983
"122",60940,48085
"123",58295,49127
"124",60885,49451
"125",61080,48449
"126",46130,37767
"127",43050,38194
"128",64565,49734
"129",63755,49690
"130",61300,50000
"131",66330,50000
"132",63015,49379
"133",70435,49772
"134",64660,49890
"135",58015,49205
"136",54975,48182
"137",55050,47875
"138",55580,47335
"139",63870,49983
"140",65875,49988
"141",68140,47835
"142",64145,49983
"143",62095,49769
"144",57760,45513
"145",49815,46184
"146",61065,48752
"147",67235,49994
"148",54420,49733
"149",62045,48840
"150",60415,49446
"151",56800,46135
"152",56310,49141
"153",58895,49326
"154",58720,49990
"155",61135,49290
"156",57905,48663
"157",51285,46770
"158",56320,49358
"159",63240,48192
"160",66590,49415
"161",67395,48842
"162",64080,49223
"163",64605,49994
"164",63205,50000
"165",56455,49983
"166",54965,48824
"167",58215,47689
"168",70440,49508
"169",52190,46434
"170",57630,49747
"171",67855,50000
"172",57570,48387
"173",59020,47251
"174",62450,49983
"175",56430,47246
"176",66980,49988
"177",50155,46779
"178",62730,48788
"179",58210,49586
"180",51050,49548
"181",64795,49983
"182",58870,48339
"183",62835,48573
"184",58860,48104
"185",56200,49983
"186",49750,46362
"187",61145,49438
"188",52845,48728
"189",40740,36870
"190",44435,43421
"191",63145,49581
"192",63810,48203
"193",51345,48971
"194",60930,49983
"195",65570,46689
"196",62065,48514
"197",67625,49582
"198",58845,49610
"199",60655,49993
"200",62075,48362
"201",64360,47839
"202",55570,46945
"203",57275,47057
"204",72185,48503
"205",57180,48197
"206",52165,45754
"207",66185,47930
"208",65945,47261
"209",58220,48513
"210",58420,48911
"211",59270,50000
"212",63835,50000
"213",56870,49122
"214",62645,49994
"215",55255,49613
"216",61520,49994
"217",45420,41222
"218",64305,48307
"219",58120,48507
"220",57735,49998
"221",49385,42470
"222",60590,49104
"223",38595,35961
"224",54225,47403
"225",66515,48813
"226",53635,48802
"227",68765,48852
"228",65915,49983
"229",59790,48477
"230",67415,49994
"231",53750,49444
"232",60070,49060
"233",54410,47985
"234",57760,49249
"235",60730,49198
"236",51970,43728
"237",55765,47315
"238",61695,48420
"239",69890,49988
"240",56970,49993
"241",64745,48232
"242",66560,49983
"243",68245,50000
"244",45750,40755
"245",67755,49611
"246",60840,49159
"247",43575,40751
"248",68145,49704
"249",58315,49492
"250",65075,50000
"251",61885,49243
"252",47860,46555
"253",55325,48034
"254",60980,49940
"255",56585,49648
"256",53500,44981
"257",58355,49785
"258",66115,49869
"259",67425,49970
"260",56335,48141
"261",57360,46523
"262",52425,46699
"263",52665,49861
"264",56605,47805
"265",57290,47545
"266",63470,49856
"267",56715,49994
"268",53975,46784
"269",61810,49912
"270",66625,49781
"271",53130,49404
"272",63040,49618
"273",55130,47265
"274",60515,49380
"275",63085,49841
"276",65500,49814
"277",53700,47945
"278",46555,45379
"279",43495,39441
"280",64755,49956
"281",61310,49264
"282",57660,46286
"283",61050,49989
"284",64595,49965
"285",57450,49487
"286",56810,49988
"287",64635,49905
"288",55455,46946
"289",42080,41141
"290",36035,35963
"291",61965,49894
"292",59120,49994
"293",59590,49586
"294",61895,49970
"295",67235,49685
"296",61370,49722
"297",65290,46387
"298",59005,48493
"299",56785,46787
"300",48850,46404
"301",61860,49983
"302",52785,44587
"303",58125,48118
"304",60500,45831
"305",71460,49955
"306",63630,48566
"307",64790,49989
"308",44255,43658
"309",65845,49980
"310",53365,47780
"311",63365,48123
"312",36695,24701
"313",53270,46531
"314",55570,45175
"315",64820,50000
"316",53665,46159
"317",54685,47532
"318",64405,49779
"319",63090,50000
"320",55590,44626
"321",62910,49778
"322",49995,47614
"323",61510,47885
"324",51485,45529
"325",52485,48897
"326",63185,49102
"327",52300,46092
"328",50995,48002
"329",57845,44715
"330",59330,46499
"331",58155,47601
"332",50115,44506
"333",62465,49079
"334",57715,49452
"335",56700,46817
"336",43805,34332
"337",64500,45071
"338",63350,46858
"339",49260,47430
"340",58395,48268
"341",65525,49989
"342",60085,49965
"343",55420,46656
"344",64705,48124
"345",57445,47770
"346",66480,47842
"347",66845,49210
"348",49715,49285
"349",53000,46937
"350",63890,47416
"351",62570,49879
"352",54875,48178
"353",63480,49788
"354",54285,41921
"355",60585,49968
"356",52035,45637
"357",45030,42887
"358",68640,49615
"359",52210,49998
"360",59030,48905
"361",59260,48197
"362",69040,49988
"363",65695,49580
"364",65355,47274
"365",57400,49644
