"","finalStackSize","lowestStackSize"
"1",69570,49698
"2",63490,49998
"3",77135,49640
"4",67370,45765
"5",73285,48742
"6",75050,48919
"7",69005,47263
"8",55865,46958
"9",57615,41523
"10",73610,49799
"11",65650,49735
"12",68900,49798
"13",68585,49880
"14",72605,48907
"15",54195,43666
"16",68190,49311
"17",69980,46730
"18",52480,42653
"19",70985,49466
"20",49735,37329
"21",53075,48065
"22",66100,46935
"23",63660,49209
"24",57005,49561
"25",61950,49700
"26",53555,48545
"27",62965,43654
"28",62450,46166
"29",65880,47586
"30",68210,50000
"31",68090,46757
"32",70845,48877
"33",63890,48176
"34",53660,47190
"35",60040,46194
"36",69155,49360
"37",56315,49998
"38",66510,49301
"39",59845,49016
"40",76275,49852
"41",60790,46904
"42",61485,48252
"43",58830,46461
"44",53505,49698
"45",73470,49271
"46",72385,47773
"47",66420,49510
"48",48085,44305
"49",73965,49467
"50",56860,44343
"51",65555,49687
"52",61325,49898
"53",66165,49799
"54",72335,47905
"55",63000,49355
"56",62750,49746
"57",56070,40284
"58",67945,49603
"59",65795,45876
"60",64415,49405
"61",63685,48598
"62",49715,43655
"63",69345,50000
"64",70710,48805
"65",64385,49297
"66",68075,49237
"67",71100,49765
"68",72050,48326
"69",68215,49899
"70",55330,43925
"71",60150,45667
"72",56400,49798
"73",52050,45900
"74",56455,49969
"75",64830,49846
"76",53310,47297
"77",60700,49466
"78",62525,45964
"79",58975,44391
"80",65055,45972
"81",54605,45746
"82",62750,47000
"83",73685,48448
"84",55120,48354
"85",62195,45474
"86",74375,49718
"87",71070,50000
"88",72905,47108
"89",73450,49272
"90",74945,46109
"91",55725,49456
"92",63560,49542
"93",44555,39601
"94",51250,44569
"95",68720,49962
"96",70600,45954
"97",64940,49205
"98",52300,47187
"99",80790,49698
"100",66940,49790
"101",57690,49227
"102",61660,50000
"103",60925,50000
"104",63510,49998
"105",71100,49884
"106",66970,49497
"107",70725,48988
"108",69680,47519
"109",55420,48126
"110",59675,48086
"111",67960,47043
"112",49775,42347
"113",68040,49113
"114",57560,40751
"115",59200,41854
"116",69590,48586
"117",60675,49085
"118",66660,49400
"119",74195,48677
"120",67445,49665
"121",64440,48952
"122",76475,49580
"123",65195,47745
"124",60515,46237
"125",64830,49843
"126",64185,49698
"127",73970,49865
"128",68685,49139
"129",76685,49311
"130",70610,49263
"131",65805,45711
"132",57795,48161
"133",68300,49477
"134",53820,48357
"135",60990,48869
"136",80440,46184
"137",64740,46891
"138",61900,49693
"139",62265,49705
"140",63240,45655
"141",56330,46053
"142",57655,44105
"143",59870,49720
"144",66015,49598
"145",68610,48611
"146",63690,48989
"147",59645,49574
"148",61785,50000
"149",58210,47477
"150",70765,49971
"151",65075,49230
"152",59385,49899
"153",54500,48325
"154",58490,49798
"155",58530,46418
"156",64475,46778
"157",78210,49698
"158",65505,49798
"159",46115,39480
"160",57200,48675
"161",73530,49698
"162",66635,46126
"163",62755,49572
"164",61950,48875
"165",64460,49600
"166",61510,47641
"167",62975,48670
"168",63170,46111
"169",45805,41759
"170",62480,49655
"171",64280,48374
"172",69985,47535
"173",68245,50000
"174",45250,40522
"175",79485,47769
"176",66805,49604
"177",71215,49965
"178",61975,49799
"179",75180,49798
"180",62190,49799
"181",47525,37386
"182",72105,49645
"183",55960,47530
"184",65860,49899
"185",72175,48039
"186",62595,49236
"187",57365,44399
"188",67845,49576
"189",71460,49799
"190",64985,47494
"191",60245,49050
"192",73225,49798
"193",55810,47851
"194",51290,38529
"195",70270,49799
"196",74185,49601
"197",67805,50000
"198",57305,46335
"199",64155,49025
"200",64980,49625
"201",59870,48071
"202",74560,49320
"203",62085,49582
"204",62690,48475
"205",55095,48857
"206",55800,45751
"207",59055,48517
"208",64670,47488
"209",57025,48273
"210",71865,50000
"211",62620,48094
"212",60705,49880
"213",39530,30337
"214",60885,49545
"215",62825,50000
"216",73005,50000
"217",63530,49727
"218",71955,47676
"219",66260,48509
"220",59645,44941
"221",73080,49698
"222",52990,48476
"223",55155,49799
"224",66785,49752
"225",72185,47502
"226",63165,50000
"227",62225,49656
"228",75450,47152
"229",63075,49700
"230",60530,49598
"231",63305,46263
"232",62505,48014
"233",51270,42699
"234",52290,41037
"235",68755,50000
"236",64520,49585
"237",64705,49500
"238",70025,50000
"239",71470,47543
"240",72965,49687
"241",50650,46776
"242",77580,49053
"243",56695,43955
"244",70490,49381
"245",54755,47953
"246",70965,48980
"247",75860,49066
"248",61540,49597
"249",61830,44149
"250",45755,44606
"251",52905,43454
"252",65990,49242
"253",66845,49469
"254",57910,43351
"255",66640,48466
"256",54360,49624
"257",56065,46492
"258",72810,50000
"259",85660,50000
"260",55075,43577
"261",72105,49810
"262",69415,48320
"263",72600,49385
"264",47820,44765
"265",53155,45172
"266",57930,49412
"267",68230,48668
"268",63140,49732
"269",68765,48000
"270",59275,48631
"271",33125,31080
"272",67740,47533
"273",60195,49798
"274",64720,44214
"275",74680,49698
"276",65335,49548
"277",61115,40592
"278",56180,47802
"279",69465,50000
"280",61350,49686
"281",73660,46323
"282",68425,48399
"283",71445,49705
"284",76815,46358
"285",59585,45804
"286",73065,50000
"287",68105,48911
"288",53260,46370
"289",67725,49151
"290",72730,49998
"291",65840,46598
"292",55660,44365
"293",68475,49758
"294",60490,49311
"295",50235,44135
"296",60195,46251
"297",63740,49296
"298",57815,49799
"299",64580,49054
"300",70835,48980
"301",58555,47602
"302",81185,49998
"303",71995,49892
"304",70825,47377
"305",70810,49838
"306",63920,50000
"307",57690,48565
"308",69925,50000
"309",62930,48764
"310",60965,46304
"311",65195,45568
"312",74700,50000
"313",74115,49443
"314",63020,46665
"315",60460,49731
"316",58710,45621
"317",66230,47763
"318",70505,48512
"319",68940,48033
"320",68750,49698
"321",72225,50000
"322",67975,49173
"323",65750,49339
"324",64695,49998
"325",59980,42081
"326",59125,48049
"327",74610,49161
"328",65045,50000
"329",63055,48246
"330",64950,46810
"331",62105,48580
"332",69310,49743
"333",63605,46599
"334",78430,49665
"335",61325,48087
"336",67610,49881
"337",74030,47831
"338",68690,49446
"339",67240,49698
"340",50085,46183
"341",54470,41346
"342",61270,42416
"343",56330,48904
"344",62265,44431
"345",68400,48514
"346",59265,49598
"347",56195,48301
"348",52260,48234
"349",74295,49799
"350",75930,50000
"351",60420,49923
"352",52410,46793
"353",56465,43255
"354",66700,49226
"355",48035,43759
"356",68880,47157
"357",64855,46172
"358",51875,42030
"359",47450,33988
"360",61625,49799
"361",66225,48613
"362",60285,49302
"363",67445,49650
"364",58705,41759
"365",61520,48116
"366",60025,49052
"367",59890,46289
"368",75610,47657
"369",63400,48861
"370",46300,36136
"371",59270,47565
"372",50040,48359
"373",50460,43718
"374",56665,45046
"375",69955,49540
"376",58020,47084
"377",65450,49980
"378",56265,49574
"379",72685,47449
"380",74175,48480
"381",68305,49899
"382",66335,50000
"383",70095,48983
"384",74915,49791
"385",67490,50000
"386",54795,46436
"387",66740,48426
"388",71740,49294
"389",70035,41525
"390",63415,49720
"391",68595,49598
"392",78625,49580
"393",70750,48380
"394",61525,47270
"395",57930,49757
"396",74225,49730
"397",71010,50000
"398",73105,49173
"399",62385,47574
"400",68185,47081
