"","finalStackSize","lowestStackSize"
"1",24193,7162
"2",22268,6807
"3",17238,6798
"4",22243,7405
"5",22938,6048
"6",23653,7166
"7",30693,7020
"8",26748,6875
"9",23043,7333
"10",28038,7325
"11",27623,6927
"12",23643,7367
"13",25938,6278
"14",15433,7396
"15",24288,6362
"16",27518,7483
"17",27933,6963
"18",27578,7416
"19",27618,7361
"20",27263,7378
"21",22858,6059
"22",24648,6333
"23",26728,7436
"24",27533,6693
"25",24453,6808
"26",29628,7370
"27",19438,7488
"28",21973,7014
"29",32443,7331
"30",17453,6885
"31",27873,7197
"32",24898,7498
"33",25123,5694
"34",26783,7450
"35",22493,7500
"36",23988,7242
"37",26163,7430
"38",24778,7381
"39",28748,6831
"40",24103,6334
"41",23923,7500
"42",25648,6942
"43",27448,7076
"44",28878,7409
"45",23933,7460
"46",23128,7450
"47",29138,7420
"48",24328,7441
"49",21048,6664
"50",24243,6705
"51",30283,7219
"52",21433,7341
"53",30033,6792
"54",24343,6568
"55",22793,7500
"56",27558,7425
"57",17798,7500
"58",28358,6557
"59",23268,7483
"60",24263,7069
"61",23178,6730
"62",24873,6625
"63",28178,7463
"64",21328,7500
"65",25448,7411
"66",25238,7483
"67",27698,7498
"68",23253,7462
"69",30553,7406
"70",21463,7135
"71",26333,7169
"72",26358,7439
"73",24268,7319
"74",24408,7189
"75",25788,7405
"76",22298,7500
"77",23768,7488
"78",24093,6945
"79",25203,1985
"80",24673,7108
"81",24348,7492
"82",19503,7500
"83",29778,7191
"84",26073,7078
"85",23663,7478
"86",23173,7470
"87",25528,6772
"88",32038,7190
"89",23983,6620
"90",27978,7498
"91",23963,7460
"92",27933,7371
"93",24098,7464
"94",30813,7500
"95",19048,6010
"96",20118,7091
"97",28393,7034
"98",22203,7500
"99",27553,7498
"100",32633,6322
